[XSECTIONS]
;;Link           Shape        Geom1            Geom2      Geom3      Geom4      Barrels    Culvert   
;;-------------- ------------ ---------------- ---------- ---------- ---------- ---------- ----------
1056             CIRCULAR     4.67             0          0          0          1          0         
10562            CIRCULAR     4.67             0          0          0          1          0         
1058             CIRCULAR     15.5             0          0          0          1          0         
1059             CIRCULAR     1.5              0          0          0          1          0         
105905           CIRCULAR     3                0          0          0          1          0         
1060             RECT_CLOSED  6                12.6       0          0          1          0         
10601            RECT_CLOSED  4.5              9.3        0          0          1          0         
1062             CIRCULAR     15.5             0          0          0          1          0         
1063             CIRCULAR     1.5              0          0          0          1          0         
10631            RECT_CLOSED  3                3          0          0          1          0         
10632            RECT_CLOSED  6                6.5        0          0          1          0         
1064             CIRCULAR     3                0          0          0          1          0         
1066             CIRCULAR     15.5             0          0          0          1          0         
1067             CIRCULAR     3.39             0          0          0          1          0         
106705           CIRCULAR     8                0          0          0          1          0         
10671            RECT_CLOSED  10               11         0          0          1          0         
106710           RECT_CLOSED  5                13         0          0          1          0         
106715           CIRCULAR     8                0          0          0          1          0         
10672            RECT_CLOSED  10.25            12         0          0          1          0         
106720           CIRCULAR     6.45             0          0          0          1          0         
106725           CIRCULAR     6.45             0          0          0          1          0         
106730           CIRCULAR     3.76             0          0          0          1          0         
106735           CIRCULAR     3.49             0          0          0          1          0         
106740           CIRCULAR     3.22             0          0          0          1          0         
106745           CIRCULAR     1.69             0          0          0          1          0         
106746           CIRCULAR     3.22             0          0          0          1          0         
106747           CIRCULAR     7.75             0          0          0          1          0         
106750           CIRCULAR     6.25             0          0          0          1          0         
106755           CIRCULAR     4.43             0          0          0          1          0         
106760           CIRCULAR     4.23             0          0          0          1          0         
106765           CIRCULAR     1.77             0          0          0          1          0         
106766           CIRCULAR     4.03             0          0          0          1          0         
106767           CIRCULAR     8.25             0          0          0          1          0         
106770           CIRCULAR     4.83             0          0          0          1          0         
106775           CIRCULAR     4.83             0          0          0          1          0         
106780           CIRCULAR     4.43             0          0          0          1          0         
106785           CIRCULAR     2                0          0          0          1          0         
106786           CIRCULAR     4.03             0          0          0          1          0         
106787           CIRCULAR     8.75             0          0          0          1          0         
106790           CIRCULAR     4.03             0          0          0          1          0         
106795           CIRCULAR     4.03             0          0          0          1          0         
1068             RECT_CLOSED  6                5          0          0          1          0         
106800           CIRCULAR     1.8              0          0          0          1          0         
106801           CIRCULAR     4.03             0          0          0          1          0         
106802           CIRCULAR     9.5              0          0          0          1          0         
106805           CIRCULAR     4.23             0          0          0          1          0         
10681            RECT_CLOSED  6                5          0          0          1          0         
106810           CIRCULAR     3.83             0          0          0          1          0         
106815           CIRCULAR     1.71             0          0          0          1          0         
106816           CIRCULAR     4.03             0          0          0          1          0         
106817           CIRCULAR     9                0          0          0          1          0         
106820           CIRCULAR     3.22             0          0          0          1          0         
106825           CIRCULAR     3.22             0          0          0          1          0         
106830           CIRCULAR     1.67             0          0          0          1          0         
106831           CIRCULAR     4.03             0          0          0          1          0         
106832           CIRCULAR     9                0          0          0          1          0         
1070             CIRCULAR     15.5             0          0          0          1          0         
1071             CIRCULAR     2.76             0          0          0          1          0         
107105           CIRCULAR     4.83             0          0          0          1          0         
10711            RECT_CLOSED  5.4              5          0          0          1          0         
107110           CIRCULAR     4.83             0          0          0          1          0         
107115           CIRCULAR     4.83             0          0          0          1          0         
10712            RECT_CLOSED  5.5              7          0          0          1          0         
107120           CIRCULAR     4.83             0          0          0          1          0         
107125           CIRCULAR     5.5              0          0          0          1          0         
107130           CIRCULAR     5.5              0          0          0          1          0         
107135           CIRCULAR     4.83             0          0          0          1          0         
107140           CIRCULAR     4.3              0          0          0          1          0         
107145           CIRCULAR     1.8              0          0          0          1          0         
107146           CIRCULAR     4.3              0          0          0          1          0         
107147           CIRCULAR     7.75             0          0          0          1          0         
107150           CIRCULAR     4.3              0          0          0          1          0         
107155           CIRCULAR     3.76             0          0          0          1          0         
107160           CIRCULAR     1.7              0          0          0          1          0         
107161           CIRCULAR     4.03             0          0          0          1          0         
107162           CIRCULAR     8.5              0          0          0          1          0         
107163           CIRCULAR     7.5              0          0          0          1          0         
1072             CIRCULAR     6                0          0          0          1          0         
1074             CIRCULAR     15.5             0          0          0          1          0         
1075             CIRCULAR     3.09             0          0          0          1          0         
107505           CIRCULAR     7                0          0          0          1          0         
10751            RECT_CLOSED  7.5              15         0          0          1          0         
107510           CIRCULAR     8                0          0          0          1          0         
107515           CIRCULAR     6.45             0          0          0          1          0         
107520           CIRCULAR     7                0          0          0          1          0         
107525           CIRCULAR     6.45             0          0          0          1          0         
107530           CIRCULAR     2.16             0          0          0          1          0         
107531           CIRCULAR     6.5              0          0          0          1          0         
107535           CIRCULAR     6.45             0          0          0          1          0         
107540           CIRCULAR     6.45             0          0          0          1          0         
107545           CIRCULAR     6.45             0          0          0          1          0         
107550           CIRCULAR     3.76             0          0          0          1          0         
107555           CIRCULAR     1.7              0          0          0          1          0         
107556           CIRCULAR     4.03             0          0          0          1          0         
107560           CIRCULAR     7.5              0          0          0          1          0         
107565           RECT_CLOSED  7                8.5        0          0          1          0         
107575           CIRCULAR     5.64             0          0          0          1          0         
107580           CIRCULAR     2.96             0          0          0          1          0         
107581           CIRCULAR     5                0          0          0          1          0         
1076             CIRCULAR     5.3              0          0          0          1          0         
10761            CIRCULAR     5.3              0          0          0          1          0         
1078             CIRCULAR     15.5             0          0          0          1          0         
1080             CIRCULAR     15.25            0          0          0          1          0         
1081             CIRCULAR     1.95             0          0          0          1          0         
108105           CIRCULAR     6                0          0          0          1          0         
10811            RECT_CLOSED  2.9              15         0          0          1          0         
108110           CIRCULAR     4.83             0          0          0          1          0         
108115           CIRCULAR     4.3              0          0          0          1          0         
10812            RECT_CLOSED  6                15         0          0          1          0         
108120           CIRCULAR     5                0          0          0          1          0         
108125           CIRCULAR     4.3              0          0          0          1          0         
108130           CIRCULAR     3.76             0          0          0          1          0         
108135           CIRCULAR     1.71             0          0          0          1          0         
108136           CIRCULAR     4.03             0          0          0          1          0         
108140           CIRCULAR     3.76             0          0          0          1          0         
108145           CIRCULAR     3.22             0          0          0          1          0         
108150           CIRCULAR     3.42             0          0          0          1          0         
108151           CIRCULAR     5.64             0          0          0          1          0         
108152           CIRCULAR     5.64             0          0          0          1          0         
1082             CIRCULAR     4.25             0          0          0          1          0         
10821            CIRCULAR     4.25             0          0          0          1          0         
1084             CIRCULAR     15.25            0          0          0          1          0         
1085             CIRCULAR     1.95             0          0          0          1          0         
108505           CIRCULAR     5.17             0          0          0          1          0         
10851            RECT_CLOSED  5                6          0          0          1          0         
108510           CIRCULAR     5                0          0          0          1          0         
108512           CIRCULAR     5.17             0          0          0          1          0         
108515           CIRCULAR     4.83             0          0          0          1          0         
10852            RECT_CLOSED  6.5              7          0          0          1          0         
108520           CIRCULAR     4.3              0          0          0          1          0         
108525           CIRCULAR     3.76             0          0          0          1          0         
108530           CIRCULAR     4.5              0          0          0          1          0         
108535           CIRCULAR     3.76             0          0          0          1          0         
108540           CIRCULAR     3.22             0          0          0          1          0         
1086             CIRCULAR     4.5              0          0          0          1          0         
10861            CIRCULAR     4.5              0          0          0          1          0         
1088             CIRCULAR     15.25            0          0          0          1          0         
1089             CIRCULAR     2.76             0          0          0          1          0         
108905           CIRCULAR     7.07             0          0          0          1          0         
10891            RECT_CLOSED  4                9.5        0          0          1          0         
108910           CIRCULAR     7                0          0          0          1          0         
108915           CIRCULAR     6.45             0          0          0          1          0         
10892            RECT_CLOSED  6.5              9.5        0          0          1          0         
108920           CIRCULAR     4.83             0          0          0          1          0         
108925           CIRCULAR     4.83             0          0          0          1          0         
108930           CIRCULAR     4.3              0          0          0          1          0         
108935           CIRCULAR     5                0          0          0          1          0         
108940           CIRCULAR     4.3              0          0          0          1          0         
108945           CIRCULAR     3.76             0          0          0          1          0         
108946           RECT_CLOSED  2.5              7.85       0          0          1          0         
108950           CIRCULAR     3.76             0          0          0          1          0         
108955           CIRCULAR     4                0          0          0          1          0         
108956           CIRCULAR     5.64             0          0          0          1          0         
1090             CIRCULAR     5                0          0          0          1          0         
10901            CIRCULAR     5                0          0          0          1          0         
1092             CIRCULAR     15.25            0          0          0          1          0         
1093             CIRCULAR     1                0          0          0          1          0         
10931            RECT_CLOSED  2.4              8          0          0          1          0         
10932            RECT_CLOSED  5                8          0          0          1          0         
1094             CIRCULAR     4                0          0          0          1          0         
1096             CIRCULAR     15.25            0          0          0          1          0         
1100             RECT_CLOSED  17.5             14.5       0          0          2          0         
1130             RECT_CLOSED  17.5             13.9       0          0          3          0         
11301            RECT_CLOSED  17.5             13.9       0          0          3          0         
1150             RECT_CLOSED  17.5             13.9       0          0          3          0         
11501            RECT_CLOSED  5                256        0          0          1          0         
11521            CIRCULAR     6                0          0          0          1          0         
11523            CIRCULAR     6                0          0          0          1          0         
11524            CIRCULAR     6                0          0          0          1          0         
11525            CIRCULAR     6                0          0          0          1          0         
1155             RECT_CLOSED  17.5             13.9       0          0          2          0         
1160             RECT_CLOSED  17.5             13.9       0          0          2          0         
1165             RECT_CLOSED  17.5             13.9       0          0          2          0         
1170             RECT_CLOSED  14.5             13.3       0          0          2          0         
11801            CIRCULAR     11.5             0          0          0          3          0         
1185             RECT_CLOSED  14.5             13.3       0          0          2          0         
1190             RECT_CLOSED  14.5             13.3       0          0          2          0         
11951            RECT_CLOSED  4.7              54         0          0          1          0         
11952            RECT_CLOSED  6                4.71       0          0          1          0         
1200             CIRCULAR     15               0          0          0          1          0         
1205             CIRCULAR     15               0          0          0          1          0         
1210             CIRCULAR     15               0          0          0          1          0         
1215             CIRCULAR     15               0          0          0          1          0         
1220             CIRCULAR     15               0          0          0          1          0         
12201            CIRCULAR     5.5              0          0          0          1          0         
1225             CIRCULAR     12.75            0          0          0          1          0         
1230             CIRCULAR     12.75            0          0          0          1          0         
12301            CIRCULAR     5                0          0          0          1          0         
12302            CIRCULAR     5                0          0          0          1          0         
12303            CIRCULAR     5                0          0          0          1          0         
12304            CIRCULAR     5                0          0          0          1          0         
1300             CIRCULAR     11.5             0          0          0          1          0         
1305             CIRCULAR     11.5             0          0          0          1          0         
13051            CIRCULAR     4                0          0          0          1          0         
1310             CIRCULAR     11.5             0          0          0          1          0         
1315             CIRCULAR     11.5             0          0          0          1          0         
1320             CIRCULAR     11.5             0          0          0          1          0         
13201            CIRCULAR     5.5              0          0          0          1          0         
1325             CIRCULAR     10.75            0          0          0          1          0         
1330             CIRCULAR     10.75            0          0          0          1          0         
1335             CIRCULAR     10.25            0          0          0          1          0         
1340             CIRCULAR     9.5              0          0          0          1          0         
1345             CIRCULAR     9.25             0          0          0          1          0         
13451            CIRCULAR     5                0          0          0          1          0         
13452            CIRCULAR     5                0          0          0          1          0         
13453            CIRCULAR     5                0          0          0          1          0         
13454            CIRCULAR     5                0          0          0          1          0         
1400             RECT_CLOSED  14.5             14.5       0          0          1          0         
1405             RECT_CLOSED  14.5             14.5       0          0          1          0         
1415             CIRCULAR     14.5             0          0          0          1          0         
1420             CIRCULAR     14.5             0          0          0          1          0         
1425             CIRCULAR     14.5             0          0          0          1          0         
1430             CIRCULAR     14.5             0          0          0          1          0         
14301            RECT_CLOSED  14               12.5       0          0          1          0         
1435             CIRCULAR     14.5             0          0          0          1          0         
1440             CIRCULAR     14.5             0          0          0          1          0         
1445             CIRCULAR     14.5             0          0          0          1          0         
1449             RECT_CLOSED  13.45            13.4       0          0          1          0         
1500             CIRCULAR     14.5             0          0          0          1          0         
1502             RECT_CLOSED  13.45            13.4       0          0          1          0         
1503             RECT_CLOSED  13.45            13.4       0          0          1          0         
1509             RECT_CLOSED  13.45            13.4       0          0          1          0         
1510             CIRCULAR     14               0          0          0          1          0         
1515             CIRCULAR     14               0          0          0          1          0         
1516             CIRCULAR     5.5              0          0          0          1          0         
15162            CIRCULAR     14               0          0          0          1          0         
1520             CIRCULAR     14               0          0          0          1          0         
1525             CIRCULAR     14               0          0          0          1          0         
1530             CIRCULAR     14               0          0          0          1          0         
1535             CIRCULAR     14               0          0          0          1          0         
1540             CIRCULAR     14               0          0          0          1          0         
1545             CIRCULAR     14               0          0          0          1          0         
1546             CIRCULAR     9.5              0          0          0          1          0         
1550             CIRCULAR     11.5             0          0          0          1          0         
1551             CIRCULAR     8                0          0          0          1          0         
1555             CIRCULAR     11.5             0          0          0          1          0         
1560             CIRCULAR     11.5             0          0          0          1          0         
1562             CIRCULAR     11.5             0          0          0          1          0         
1565             RECT_CLOSED  4                9.42       0          0          1          0         
1570             CIRCULAR     11.5             0          0          0          1          0         
1600             CIRCULAR     14.75            0          0          0          1          0         
16003            CIRCULAR     14.5             0          0          0          1          0         
1601             CIRCULAR     3.91             0          0          0          1          0         
160100           CIRCULAR     9.5              0          0          0          1          0         
160101           CIRCULAR     4                0          0          0          1          0         
16011            RECT_CLOSED  3.8              18.9       0          0          1          0         
160110           CIRCULAR     9.5              0          0          0          1          0         
160120           CIRCULAR     9.5              0          0          0          1          0         
160121           CIRCULAR     9.5              0          0          0          1          0         
160122           CIRCULAR     12               0          0          0          1          0         
160123           RECT_CLOSED  7.3              15         0          0          1          0         
160130           CIRCULAR     9.5              0          0          0          1          0         
160140           CIRCULAR     9.5              0          0          0          1          0         
160145           CIRCULAR     9.5              0          0          0          1          0         
160146           CIRCULAR     9.5              0          0          0          1          0         
160147           CIRCULAR     9.5              0          0          0          1          0         
160150           CIRCULAR     9.5              0          0          0          1          0         
160160           CIRCULAR     9.5              0          0          0          1          0         
160161           CIRCULAR     5.8              0          0          0          1          0         
160166           CIRCULAR     5.64             0          0          0          1          0         
160170           CIRCULAR     6                0          0          0          1          0         
160171           CIRCULAR     4.5              0          0          0          1          0         
160172           CIRCULAR     3                0          0          0          1          0         
160173           CIRCULAR     3                0          0          0          1          0         
160175           CIRCULAR     6.2              0          0          0          1          0         
160176           CIRCULAR     3                0          0          0          1          0         
160180           CIRCULAR     3                0          0          0          1          0         
160181           CIRCULAR     3.5              0          0          0          1          0         
160190           CIRCULAR     4                0          0          0          1          0         
1602             RECT_CLOSED  5                8          0          0          1          0         
16021            RECT_CLOSED  5                8          0          0          1          0         
1604             CIRCULAR     14.75            0          0          0          1          0         
1605             CIRCULAR     3.91             0          0          0          1          0         
160500           CIRCULAR     7                0          0          0          1          0         
160501           CIRCULAR     2.4              0          0          0          1          0         
160503           CIRCULAR     5.4              0          0          0          1          0         
160510           CIRCULAR     7                0          0          0          1          0         
160520           CIRCULAR     4.5              0          0          0          1          0         
160531           CIRCULAR     3.8              0          0          0          1          0         
160540           CIRCULAR     5.3              0          0          0          1          0         
160550           CIRCULAR     4                0          0          0          1          0         
160555           CIRCULAR     3.5              0          0          0          1          0         
160556           CIRCULAR     3                0          0          0          1          0         
160557           CIRCULAR     3                0          0          0          1          0         
160560           CIRCULAR     3                0          0          0          1          0         
160570           RECT_CLOSED  0.8              1.2        0          0          1          0         
160571           RECT_CLOSED  2                6.28       0          0          1          0         
16061            RECT_CLOSED  10               10.5       0          0          1          0         
16062            RECT_CLOSED  10.75            12         0          0          1          0         
16063            RECT_CLOSED  10               18         0          0          1          0         
16064            RECT_CLOSED  10               10.5       0          0          1          0         
16065            RECT_CLOSED  10.75            12         0          0          1          0         
16066            RECT_CLOSED  10               18         0          0          1          0         
160742           CIRCULAR     0.5              0          0          0          1          0         
1608             CIRCULAR     14.75            0          0          0          1          0         
1609             CIRCULAR     3.91             0          0          0          1          0         
16090            CIRCULAR     7                0          0          0          1          0         
160900           CIRCULAR     3.6              0          0          0          1          0         
