[ORIFICES]
;;Name           From Node        To Node          Type         Offset     Qcoeff     Gated    CloseTime 
;;-------------- ---------------- ---------------- ------------ ---------- ---------- -------- ----------
RC2162120A       RC2162120A       162120           SIDE         0.000000   0.600000   YES      0         
RC2162135A       RC2162135A       162135           SIDE         0.000000   0.600000   YES      0         
RC2162144A       RC2162144A       162144           SIDE         0.000000   0.600000   YES      0         
RC2162155A       RC2162155A       162155           SIDE         0.000000   0.600000   YES      0         
RC2162165A       RC2162165A       162165           SIDE         0.000000   0.600000   YES      0         
RC2162180A       RC2162180A       162180           SIDE         0.000000   0.600000   YES      0         
RC2162195A       RC2162195A       162195           SIDE         0.000000   0.600000   YES      0         
RC21621A         RC21621A         1621             SIDE         0.000000   0.600000   YES      0         
RC2162205A       RC2162205A       162205           SIDE         0.000000   0.600000   YES      0         
RC2162210A       RC2162210A       162210           SIDE         0.000000   0.600000   YES      0         
RC2162230A       RC2162230A       162230           SIDE         0.000000   0.600000   YES      0         
RC2162265A       RC2162265A       162261           SIDE         0.000000   0.600000   YES      0         
RC2162700A       RC2162700A       162700           SIDE         0.000000   0.600000   YES      0         
RC2162770A       RC2162770A       162770           SIDE         0.000000   0.600000   YES      0         
RC21627A         RC21627A         1627             SIDE         0.000000   0.600000   YES      0         
RC2163100A       RC2163100A       163100           SIDE         0.000000   0.600000   YES      0         
RC2163126A       RC2163126A       163126           SIDE         0.000000   0.600000   YES      0         
RC2163140A       RC2163140A       163140           SIDE         0.000000   0.600000   YES      0         
RC2163186A       RC2163186A       163186           SIDE         0.000000   0.600000   YES      0         
RC21631A         RC21631A         1631             SIDE         0.000000   0.600000   YES      0         
RC2163200A       RC2163200A       163200           SIDE         0.000000   0.600000   YES      0         
RC2163510A       RC2163510A       163510           SIDE         0.000000   0.600000   YES      0         
RC2163520A       RC2163520A       163520           SIDE         0.000000   0.600000   YES      0         
RC2163536A       RC2163536A       163536           SIDE         0.000000   0.600000   YES      0         
RC2163550A       RC2163550A       163550           SIDE         0.000000   0.600000   YES      0         
RC21635A         RC21635A         1635             SIDE         0.000000   0.600000   YES      0         
RC2163910A       RC2163910A       163910           SIDE         0.000000   0.600000   YES      0         
RC21639A         RC21639A         1639             SIDE         0.000000   0.600000   YES      0         
RC21643A         RC21643A         1643             SIDE         0.000000   0.600000   YES      0         
RC2164600A       RC2164600A       164600           SIDE         0.000000   0.600000   YES      0         
RC2164610A       RC2164610A       164610           SIDE         0.000000   0.600000   YES      0         
RC2164630A       RC2164630A       164630           SIDE         0.000000   0.600000   YES      0         
RC2164640A       RC2164640A       164640           SIDE         0.000000   0.600000   YES      0         
RC2164660A       RC2164660A       164660           SIDE         0.000000   0.600000   YES      0         
RC2164670A       RC2164670A       164670           SIDE         0.000000   0.600000   YES      0         
RC2164690A       RC2164690A       164690           SIDE         0.000000   0.600000   YES      0         
RC2164700A       RC2164700A       164700           SIDE         0.000000   0.600000   YES      0         
RC21647A         RC21647A         164593           SIDE         0.000000   0.600000   YES      0         
RC21651A         RC21651A         1651             SIDE         0.000000   0.600000   YES      0         
RC216550A        RC216550A        16550            SIDE         0.000000   0.600000   YES      0         
RC2165510A       RC2165510A       165510           SIDE         0.000000   0.600000   YES      0         
RC2165530A       RC2165530A       165530           SIDE         0.000000   0.600000   YES      0         
RC2165540A       RC2165540A       165540           SIDE         0.000000   0.600000   YES      0         
RC2165555A       RC2165555A       165555           SIDE         0.000000   0.600000   YES      0         
RC2165560A       RC2165560A       165560           SIDE         0.000000   0.600000   YES      0         
RC2165570A       RC2165570A       165570           SIDE         0.000000   0.600000   YES      0         
RC2165590A       RC2165590A       165590           SIDE         0.000000   0.600000   YES      0         
RC21655A         RC21655A         1655             SIDE         0.000000   0.600000   YES      0         
RC2165600A       RC2165600A       165600           SIDE         0.000000   0.600000   YES      0         
RC2165610A       RC2165610A       165610           SIDE         0.000000   0.600000   YES      0         
RC2165630A       RC2165630A       165630           SIDE         0.000000   0.600000   YES      0         
RC2165640A       RC2165640A       165640           SIDE         0.000000   0.600000   YES      0         
RC2166300A       RC2166300A       166300           SIDE         0.000000   0.600000   YES      0         
RC2166310A       RC2166310A       166310           SIDE         0.000000   0.600000   YES      0         
RC2166330A       RC2166330A       166330           SIDE         0.000000   0.600000   YES      0         
RC2166350A       RC2166350A       166350           SIDE         0.000000   0.600000   YES      0         
RC21663A         RC21663A         1663             SIDE         0.000000   0.600000   YES      0         
RC21671A         RC21671A         1671             SIDE         0.000000   0.600000   YES      0         
RC21674A         RC21674A         16742            SIDE         0.000000   0.600000   YES      0         
RC21731A         RC21731A         2915             SIDE         0.000000   0.600000   YES      0         
RC21781A         RC21781A         1782             SIDE         0.000000   0.600000   YES      0         
RC21953A         RC21953A         1502             SIDE         0.000000   0.600000   YES      0         
RC22030A         RC22030A         2030             SIDE         0.000000   0.600000   YES      0         
RC22040A         RC22040A         2040             SIDE         0.000000   0.600000   YES      0         
RC22056A         RC22056A         2056             SIDE         0.000000   0.600000   YES      0         
RC22060A         RC22060A         2065             SIDE         0.000000   0.600000   YES      0         
RC22115A         RC22115A         2115             SIDE         0.000000   0.600000   YES      0         
RC22140A         RC22140A         2140             SIDE         0.000000   0.600000   YES      0         
RC2214500A       RC2214500A       214500           SIDE         0.000000   0.600000   YES      0         
RC22160A         RC22160A         2160             SIDE         0.000000   0.600000   YES      0         
RC22200A         RC22200A         2200             SIDE         0.000000   0.600000   YES      0         
RC22201A         RC22201A         2200             SIDE         0.000000   0.600000   YES      0         
RC22315A         RC22315A         2315             SIDE         0.000000   0.600000   YES      0         
RC22345A         RC22345A         2345             SIDE         0.000000   0.600000   YES      0         
RC22350A         RC22350A         2350             SIDE         0.000000   0.600000   YES      0         
RC22355A         RC22355A         2360             SIDE         0.000000   0.600000   YES      0         
RC22389A         RC22389A         2389             SIDE         0.000000   0.600000   YES      0         
RC22397A         RC22397A         2397             SIDE         0.000000   0.600000   YES      0         
RC22505A         RC22505A         2505             SIDE         0.000000   0.600000   YES      0         
RC22520A         RC22520A         2525             SIDE         0.000000   0.600000   YES      0         
RC22521A         RC22521A         2545             SIDE         0.000000   0.600000   YES      0         
RC22560A         RC22560A         2560             SIDE         0.000000   0.600000   YES      0         
RC22575A         RC22575A         2585             SIDE         0.000000   0.600000   YES      0         
RC22576A         RC22576A         2595             SIDE         0.000000   0.600000   YES      0         
RC22605A         RC22605A         2605             SIDE         0.000000   0.600000   YES      0         
RC22730A         RC22730A         2730             SIDE         0.000000   0.600000   YES      0         
RC22735A         RC22735A         2735             SIDE         0.000000   0.600000   YES      0         
RC22736A         RC22736A         2737             SIDE         0.000000   0.600000   YES      0         
RC22740A         RC22740A         2740             SIDE         0.000000   0.600000   YES      0         
RC22765A         RC22765A         2765             SIDE         0.000000   0.600000   YES      0         
RC22770A         RC22770A         25250            SIDE         0.000000   0.600000   YES      0         
RC22805A         RC22805A         2805             SIDE         0.000000   0.600000   YES      0         
RC22810A         RC22810A         2810             SIDE         0.000000   0.600000   YES      0         
RC22812A         RC22812A         2812             SIDE         0.000000   0.600000   YES      0         
RC22817A         RC22817A         2817             SIDE         0.000000   0.600000   YES      0         
RC22836A         RC22836A         2836             SIDE         0.000000   0.600000   YES      0         
RC22912A         RC22912A         1731             SIDE         0.000000   0.600000   YES      0         
RC22915A         RC22915A         2915             SIDE         0.000000   0.600000   YES      0         
RC22920A         RC22920A         2920             SIDE         0.000000   0.600000   YES      0         
RC22930A         RC22930A         2930             SIDE         0.000000   0.600000   YES      0         
RC22935A         RC22935A         2935             SIDE         0.000000   0.600000   YES      0         
RC22960A         RC22960A         2960             SIDE         0.000000   0.600000   YES      0         
RC22965A         RC22965A         2980             SIDE         0.000000   0.600000   YES      0         
RC22980A         RC22980A         2980             SIDE         0.000000   0.600000   YES      0         
RC25030A         RC25030A         5030             SIDE         0.000000   0.600000   YES      0         
RC25040A         RC25040A         5040             SIDE         0.000000   0.600000   YES      0         
RC25105A         RC25105A         5105             SIDE         0.000000   0.600000   YES      0         
RC25108A         RC25108A         5108             SIDE         0.000000   0.600000   YES      0         
RC25110A         RC25110A         5110             SIDE         0.000000   0.600000   YES      0         
RC25115A         RC25115A         5115             SIDE         0.000000   0.600000   YES      0         
RC25250A         RC25250A         52501            SIDE         0.000000   0.600000   YES      0         
RC25255A         RC25255A         52601            SIDE         0.000000   0.600000   YES      0         
RC25510A         RC25510A         5510             SIDE         0.000000   0.600000   YES      0         
RC25530A         RC25530A         5530             SIDE         0.000000   0.600000   YES      0         
RC25555A         RC25555A         5555             SIDE         0.000000   0.600000   YES      0         
RC25802A         RC25802A         5801             SIDE         0.000000   0.600000   YES      0         
RC26156A         RC26156A         6156             SIDE         0.000000   0.600000   YES      0         
RC26166A         RC26166A         6166             SIDE         0.000000   0.600000   YES      0         
RC26167A         RC26167A         6167             SIDE         0.000000   0.600000   YES      0         
RC267104A        RC267104A        167104           SIDE         0.000000   0.600000   YES      0         
RC267114A        RC267114A        167114           SIDE         0.000000   0.600000   YES      0         
RC267122A        RC267122A        167122           SIDE         0.000000   0.600000   YES      0         
RC267130A        RC267130A        167130           SIDE         0.000000   0.600000   YES      0         
RC267204A        RC267204A        167204           SIDE         0.000000   0.600000   YES      0         
RC267210A        RC267210A        167210           SIDE         0.000000   0.600000   YES      0         
RC267218A        RC267218A        167218           SIDE         0.000000   0.600000   YES      0         
RC267228A        RC267228A        167228           SIDE         0.000000   0.600000   YES      0         
RC267304A        RC267304A        167304           SIDE         0.000000   0.600000   YES      0         
RC267312A        RC267312A        167312           SIDE         0.000000   0.600000   YES      0         
RC267320A        RC267320A        167320           SIDE         0.000000   0.600000   YES      0         
RC267328A        RC267328A        167328           SIDE         0.000000   0.600000   YES      0         
RC267404A        RC267404A        167404           SIDE         0.000000   0.600000   YES      0         
RC267412A        RC267412A        167412           SIDE         0.000000   0.600000   YES      0         
RC267420A        RC267420A        167420           SIDE         0.000000   0.600000   YES      0         
RC268104A        RC268104A        168104           SIDE         0.000000   0.600000   YES      0         
RC268112A        RC268112A        168112           SIDE         0.000000   0.600000   YES      0         
RC268122A        RC268122A        168122           SIDE         0.000000   0.600000   YES      0         
RC268202A        RC268202A        168202           SIDE         0.000000   0.600000   YES      0         
RC268208A        RC268208A        168208           SIDE         0.000000   0.600000   YES      0         
RC268216A        RC268216A        168216           SIDE         0.000000   0.600000   YES      0         
RC268224A        RC268224A        168224           SIDE         0.000000   0.600000   YES      0         
RC268304A        RC268304A        168304           SIDE         0.000000   0.600000   YES      0         
RC268310A        RC268310A        168310           SIDE         0.000000   0.600000   YES      0         
RC268318A        RC268318A        168318           SIDE         0.000000   0.600000   YES      0         
RC268326A        RC268326A        168326           SIDE         0.000000   0.600000   YES      0         
RC26868A         RC26868A         16868            SIDE         0.000000   0.600000   YES      0         
RC268702A        RC268702A        168702           SIDE         0.000000   0.600000   YES      0         
RC268712A        RC268712A        168712           SIDE         0.000000   0.600000   YES      0         
RC268722A        RC268722A        168722           SIDE         0.000000   0.600000   YES      0         
RC269002A        RC269002A        169002           SIDE         0.000000   0.600000   YES      0         
RC269010A        RC269010A        169010           SIDE         0.000000   0.600000   YES      0         
RC269020A        RC269020A        169020           SIDE         0.000000   0.600000   YES      0         
RC277851A        RC277851A        177851           SIDE         0.000000   0.600000   YES      0         
RC277852A        RC277852A        177852           SIDE         0.000000   0.600000   YES      0         
RC277853A        RC277853A        177853           SIDE         0.000000   0.600000   YES      0         
RC277854A        RC277854A        177854           SIDE         0.000000   0.600000   YES      0         
RC277855A        RC277855A        177855           SIDE         0.000000   0.600000   YES      0         
RC277856A        RC277856A        177856           SIDE         0.000000   0.600000   YES      0         
RC277860A        RC277860A        177860           SIDE         0.000000   0.600000   YES      0         
RC277861A        RC277861A        177861           SIDE         0.000000   0.600000   YES      0         
RC277862A        RC277862A        177862           SIDE         0.000000   0.600000   YES      0         
RC277870A        RC277870A        1778590          SIDE         0.000000   0.600000   YES      0         
RC277872A        RC277872A        1778570          SIDE         0.000000   0.600000   YES      0         
RC277874A        RC277874A        11600            SIDE         0.000000   0.600000   YES      0         
RC277876A        RC277876A        11600            SIDE         0.000000   0.600000   YES      0         
RC277878A        RC277878A        11600            SIDE         0.000000   0.600000   YES      0         
RC28012A         RC28012A         82055            SIDE         0.000000   0.600000   YES      0         
RC28014A         RC28014A         82055            SIDE         0.000000   0.600000   YES      0         
RC700715A        RC700715A        100715           SIDE         0.000000   0.600000   YES      0         
RC700730A        RC700730A        100730           SIDE         0.000000   0.600000   YES      0         
RC701910A        RC701910A        101910           SIDE         0.000000   0.600000   YES      0         
RC701919A        RC701919A        101919           SIDE         0.000000   0.600000   YES      0         
RC701925A        RC701925A        101925           SIDE         0.000000   0.600000   YES      0         
RC701945A        RC701945A        101945           SIDE         0.000000   0.600000   YES      0         
RC702505A        RC702505A        102505           SIDE         0.000000   0.600000   YES      0         
RC703110A        RC703110A        103110           SIDE         0.000000   0.600000   YES      0         
RC703115A        RC703115A        103115           SIDE         0.000000   0.600000   YES      0         
RC703150A        RC703150A        103150           SIDE         0.000000   0.600000   YES      0         
RC703155A        RC703155A        103155           SIDE         0.000000   0.600000   YES      0         
RC703160A        RC703160A        103160           SIDE         0.000000   0.600000   YES      0         
RC703175A        RC703175A        103175           SIDE         0.000000   0.600000   YES      0         
RC703180A        RC703180A        103180           SIDE         0.000000   0.600000   YES      0         
RC703185A        RC703185A        103185           SIDE         0.000000   0.600000   YES      0         
RC705115A        RC705115A        105110           SIDE         0.000000   0.600000   YES      0         
RC705130A        RC705130A        105130           SIDE         0.000000   0.600000   YES      0         
RC705140A        RC705140A        105140           SIDE         0.000000   0.600000   YES      0         
RC705515A        RC705515A        105510           SIDE         0.000000   0.600000   YES      0         
RC705530A        RC705530A        105530           SIDE         0.000000   0.600000   YES      0         
RC705545A        RC705545A        105545           SIDE         0.000000   0.600000   YES      0         
RC705905A        RC705905A        105905           SIDE         0.000000   0.600000   YES      0         
RC706705A        RC706705A        106705           SIDE         0.000000   0.600000   YES      0         
RC706715A        RC706715A        106715           SIDE         0.000000   0.600000   YES      0         
RC706730A        RC706730A        106730           SIDE         0.000000   0.600000   YES      0         
RC706745A        RC706745A        106745           SIDE         0.000000   0.600000   YES      0         
RC706750A        RC706750A        106750           SIDE         0.000000   0.600000   YES      0         
RC706765A        RC706765A        106765           SIDE         0.000000   0.600000   YES      0         
RC706770A        RC706770A        106770           SIDE         0.000000   0.600000   YES      0         
RC706785A        RC706785A        106785           SIDE         0.000000   0.600000   YES      0         
RC707110A        RC707110A        107110           SIDE         0.000000   0.600000   YES      0         
RC707130A        RC707130A        107130           SIDE         0.000000   0.600000   YES      0         
RC707510A        RC707510A        107510           SIDE         0.000000   0.600000   YES      0         
RC707530A        RC707530A        107530           SIDE         0.000000   0.600000   YES      0         
RC708110A        RC708110A        108110           SIDE         0.000000   0.600000   YES      0         
RC708135A        RC708135A        108135           SIDE         0.000000   0.600000   YES      0         
RC708520A        RC708520A        108520           SIDE         0.000000   0.600000   YES      0         
RC708540A        RC708540A        108540           SIDE         0.000000   0.600000   YES      0         
RC708920A        RC708920A        108920           SIDE         0.000000   0.600000   YES      0         
RC708925A        RC708925A        108925           SIDE         0.000000   0.600000   YES      0         
RC708945A        RC708945A        108945           SIDE         0.000000   0.600000   YES      0         
RC800515A        RC800515A        200515           SIDE         0.000000   0.600000   YES      0         
RC800525A        RC800525A        200525           SIDE         0.000000   0.600000   YES      0
